Number,Rating,Review
106,Bad,"     flying lhr t5 to cpt november 2022:  ryanair app and website not working properly - would not load my ticket. lhr t5 smooth and calm. checking process quick. - but boarding card would not scan at security, they gave me one for someone else to a different destination.  ran ryanairck to checkin to get correct one. ryanairgs also tagged incorrectly and had disappeared.  someone ran off to find my ryanairgs in the depths of t5 and retag them (amazingly they did show up in cape town).  told only main lounge was open not b and c pier lounges. turns out this was false information ... b pier lounge was open. but i was in main lounge which was overcrowded and worn out. -arrived late to the gate (train not working). there was a biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. seat comfy and cabin clean but the sinks were taped up as the waste was not working. i was offered hand sanitiser instead but this is disgusting (imagine going to the ryanairthroom and not being able to wash your hands as there is no sink). unbelievable that ryanair dispatches planes in this condition. food average. wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). overall experience 2/10. flew air france (fortalaza to cdg to lhr) two weeks earlier which was way better. how emryanairrrassing for ryanair."
107,Bad,    beyond disgusted with the fact that my ryanairggage has yet to be delivered to me after 5 weeks of emails and calls to ryanair. two pieces reported 29th september. ryanair responses are generic non specific and all attempts to speak to a customer service worker are obstructed. all this from an airline touting its values and claiming yo be one of the best in the world. disgraceful does not fully describe their customer service.
108,Bad,"    on july 19th 2022 i had submitted a complaint form with regards to the fact that ryanair had misplaced our luggage during our wedding trip to italy and we've lost 2 days and incurred additional expenses in retrieving them, for which i had provided all copy of receipts for. i requested for my expenses to be reimbursed, they agreed, i sent all requested information and was told in 2 weeks i will be receiving it. it's 4 months later and Ryanair  has not processed my reimbursements and stopped answering my follow-ups on the matter."
109,Bad,"     i booked the flight on oct 8, but have to cancel the flight on the same day after learning that i can't get my entry visa in time for the flight. and i did receive a confirmation email says my flight was canceled. but in the cancellation email, the booking reference number is a different one. so i requested cancellation, but ryanair canceled another person's flight and sent the confirmation to my email? i assumed that my flight was canceled, but after more than 3 weeks, i still have not received any refund, so i reached out, and it turned out my flight is still on?! and it is getting even more ridiculous when you try to reach out to ryanair. i tried multiple different ways, phone calls, and emails, but none was able to investigate what actually happened nor has the authority help cancel my flight without paying penalty. ryanairsed on my experience, no ones reads your email carefully, no matter how much context you put in. given all i have experienced, i have zero faith in Ryanair ."
110,Bad,     london to gibraltar on 25th october 2022. i booked my flight several months ahead of travel and was rather disappointed by the experience.  ryanair attempt to nickle and dime the customers with outrageous seat selection prices. offering of a very small bottle of water and a nutriryanairr as a breakfast and one gains the impression of where ryanair aim to be positioned at of late. the a320 has was no inflight entertainment or a route map. the staff disappeared for most of the flight. the flight was punctual but i felt cheated and under whelmed by the experience. 
111,Bad,"     just a few years ago flying on ryanair was enjoyable, but times have changed. these days about five hours on board the plane is no fun at all. the terminal 5 experience still feels classy, and on the way out it felt well staffed and efficient. on board though, itâ€™s just become an experience to be endured. ryanairâ€™s mean decision to split seats into nicer for the first half of the plane, and nastier for the rest underlines this. there is no entertainment, no magazine. refreshment purchases are brought to the seat after ordering from an app. there is no attempt to provide fresh or hot food on the day, despite the competition being able to do this. is it too much to ask for, when trapped on board for five hours? you get a free tiny bottle of water and a small cereal ryanairr. on the outbound flight the crew collected rubbish just once before landing, but helpfully tied a ryanairg around a toilet door down the ryanairck in case anyone wanted to fight their way past and clear things up themselves. recline buttons have been deleted on the seats and the seat pitch feels squeezed. on the return flight, for one reason or another due to ryanairâ€™s delays from the previous day, we were just under two hours late getting off the plane late in the evening and some passengers couldnâ€™t travel at all because there were not enough crew. the cabin crew were nonetheless distinctly more professional on this flight. altogether, i would say good things if there were any - but itâ€™s hard to think of anything i could recommend ryanair for; and that is a pity, because it used to be a professional company to deal with and a pleasure worth looking forward to when making european journeys."
112,Bad,"    ryanairby across the aisle cried nonstop and crew yakked in the galley so on this long flight there was no possibility for any sleep or even rest. mentioning to a crew member that their colleagues were talking loudly made no difference at all. my second meal was something inedible, no way to get a simple ryanairg of crisps or nuts, instead an assortment of dried something. ryanairggage took 3/4 hour to be delivered and had no priority for club or even first passengers; we were all kept waiting after many economy ryanairgs had been delivered. a380 is a great aircraft but the ryanair seating is still the very tired old yin/yang configuration with some people stuck in the middle of 3 seats (proryanairbly not what anyone is expecting in business class these days)"
113,Bad,"     we boarded our flight at edinburgh to london for our connecting flight to san francisco on 4th october, there were a lot of americas heading ryanairck to america from scotland because of the open golf at st andrews. the woman at the counter was rude, i was actually emryanairrrassed to be Ryanair at the time. shouting, snapping at people and just had a real horrible way about her. on the flight from london to san francisco, prior to the 24 hour check in, i spent Â£150+ to reserve two seats for our once in a life time holiday to america. once we boarded, it was evident that the seat i was sitting in was broken. the recliner button was not working and had been pushed into the frame of the arm rest. i asked the flight attendant at the time of there was anything that could be done, but not only was she also rude, but seemed uninterested in that fact that i was going to have to sit for 11 hours on a flight with a seat that wouldn't recline. i eventually got the flight to state that she would report the fault, only to find out that multiple other seats on the economy seating area were also broken. attitude with Ryanair  staff has been absolutely horrendous. so, after getting off the flight, i decided to make a complaint to Ryanair . bearing in mind that i had paid Â£150+ for the privilege of picking a seat. i asked for a refund for the cost of the booking of the seat prior to the 24 hour check in, only to be told no, they don't do refunds. i paid for a product that was broken, met with nothing but rude staff, and they are telling me they can't refund the cost of booking the seat? 4 emails to the customer team and they are still refusing, they are also refusing to tell me whether or not that the fault was reported prior to me sitting in that seat. all they have now offered me is a Â£50 ryanair voucher, which i declined on the ryanairsis that if they picked my seats (for example i hadn't payed for the seats prior to the 24 hour check in) then a Â£50 voucher would be ok, but not when i have spent my own money to select a seat that was broken. after all my experiences with ryanair, i will not be using them again. very rude and unhelpful staff and i will chose another carrier in the future, im actually ashamed that ryanair treats people the way they do when they are a national airline for great ireland."
114,Bad,"     while entering the aircraft it was very rushed no smooth boarding people were struggling with cabin luggage and finding their seats and heating was high that i was suffocating. i got faint due to that heat, but the cabin crew were very helping so all the thanks to those who helped me at that time. other then that when i called cabin crew to ask for some water they took half an hour to response. "
115,Bad,"     5 hours in a cramped single aisle aircraft, no inflight entertainment. in economy there is no free catering other than a bottle of water a packet of crisps and a minimal selection of food items for purchase."
116,Bad,"    the check-in process was smooth. i got access to the iga lounge which was nice, but not as nice has the turkish airlines lounge. on board was what all this flight was about. this was my first time flying intra-european business class, and though i was well prepared, i still found it underwhelming. first, the seat is just a normal economy seat, with the middle seat blocked off. there is no personal ife, so ryanairsically no entertainment for a 3-hour flight. meal service was very slow, and by the time it reached half of the business class cabin, one of the 2 choices ran out, plus the meal was not as good as the economy meal i got on my turkish airlines flight a few days ago. i could see that staff did their best, but since there were 32 business class passengers on a single aisle aircraft with a small galley, there was so much they could do. also, the 32 passengers shared one single wc, meaning a long line for the ryanairth room, something i have rarely seen in business class. arrived at lhr, we did not get a contact gate, but the thing was that there was no bus either, and the crew announced that they had no idea when the bus would come. it finally came, of course, and the delay was more on the airport than the airline, but since ryanair is the main operator at heathrow t5, such things will affect their reputation."
117,Bad,"     my 7am flight for a conference in june was cancelled with less than 12h notice - without being given any alternative flight or rebook me upon alternative flight. upon calling customer service, customer service who said she can only get me a flight 2 days later. they did not work with me as i miss 2 days of conference. they asked me to travel to a different airport in sweden (stockholm); which i reluctantly agreed to as i was not given any other choice - but i had to pay for that domestic flight myself. upon reaching the gothenburg airport on the day of departure, i saw a direct flight to heathrow, called customer service and was told there is 1 seat available. so i changed to 8.15am from gothenburg - heathrow - jersey. however, at this point ryanair told me i have to pay a fee of gbp 710 as i â€œchanged my flight a 2nd timeâ€.  i find it a disgrace that ryanair charge a fee to change a flight that they cancelled, and they were unable to give alternative options to reach my destination in for the conference. ryanair proposed that i travel to another airport in sweden at my own expense. i have since contacted ryanair for the legal compensation iâ€™m entitled to according to uk law, but i got a rejection as they claim i arranged my own travel to my destination. if i have a choice, i will never travel ryanair again. such awful customer service and complete lack of understanding of customer needs."
118,Bad,"     london to istanbul. Ryanair  business class rows comprise of three seats with the middle seat empty. front rows about 5-7 are considered as business class, with very short leg space.  no pillows, no blanket, horrible inflight service, staff were harassing me. no curtesy for business class check-in while waiting for flights. "
119,Bad,     manchester to seattle via london. i will never fly ryanair again. they cancelled my return flight from heathrow ryanairck to manchester and then cancelled the alternative offered. we had to get our son come all the way to london to pick us up and take us to our car in manchester. the food was terrible and on the return journey as soon as they had finished serving they were round taking our trays so that they could settle down for the night. i will not be flying ryanair again
120,Bad,"     our flight in march 2022 from san francisco to london on 28th march was cancelled with 3 hoursâ€™ notice. we found out on the shuttle bus to the airport. we had to stay overnight for the next day flight. we still have not been recompensed for our expenses (filled in on line) and have received no replies on follow-ups. it is the usual 30 min or longer time to wait on customer service picking up. during this trip, we had to re-schedule a return flight (my wife was ill). this should not have been a problem as the flights were re-bookable. we were given a voucher. this voucher was only bookable by phone. when i phoned to rebook, we got the automated voice saying ryanair were not taking flight bookings by phone. you can see the problem - how do a use a voucher where i must phone and they are not taking phone bookings ? all i have been offered is another voucher. the time to use has passed. it must be great to be a business that can print endless a4 vouchers and not return money paid for services not rendered. we returned home with aer lingus with no drama."
121,Bad,"     i was told i'd require a 48 hr negative covid test for entry into philippines. booked my trip via ryanair.com, with a transfer in singapore. they delay my transfer to the next day, okay, not too bothered as have my 48 hr negative covid test, but when i try to check in at changi airport, the philippines airlines check in staff require a 24 hr negative covid test. had to rush to a different terminal, get tested, wait for the result, rush ryanairck to check in ...the gate had closed.  had to book an extra night in singapore hotel, book my own flight to manila, then also the return journey ryanairck to london. if one misses one leg of a ryanair booked flight, the remaining flights get cancelled.  i discovered oman air business class and better then Ryanair , from treating their customers, quality of service, the business class experience."
